summary,temperature,humidity,visibility,wind_speed,cloud_cover,precip_intensity
Overcast,47.22,0.71,9.98,8.09,0.96,0
Overcast,46.5,0.72,10,8.22,1,0
Overcast,46.04,0.73,9.99,8.74,1,0
Overcast,45.34,0.73,10,9.31,1,0
Overcast,44.49,0.74,9.96,8.84,1,0.0032
Overcast,43.88,0.75,9.85,8.61,0.98,0.0036
Cloudy,42.92,0.75,9.65,8.78,0.91,0.0029
Overcast,42.73,0.74,9.89,8.86,1,0.0011
Overcast,42.59,0.74,9.92,9.39,1,0
Overcast,43.12,0.72,9.95,9.87,1,0
Overcast,43.68,0.69,9.98,9.9,0.98,0
Cloudy,44.52,0.69,10,9.26,0.92,0
Overcast,45.93,0.66,10,8.81,0.97,0
Overcast,45.49,0.65,10,7.7,0.97,0
Overcast,46.11,0.63,10,8.1,0.99,0.0013
Cloudy,46.35,0.62,10,8.12,0.8,0
Cloudy,45.78,0.63,10,7.51,0.93,0
Overcast,45.16,0.65,10,6.56,0.97,0
Overcast,44.63,0.66,10,6.59,1,0.0013
Drizzle,44.79,0.65,10,6.3,1,0.0172
Drizzle,44.6,0.65,9.86,5.94,1,0.0256
Overcast,44.5,0.65,9.85,6.1,1,0.0023
Overcast,44.18,0.63,9.91,5.63,1,0.0041
Drizzle,44.02,0.64,9.82,5.02,1,0.0053
Overcast,43.86,0.67,8.78,5.13,1,0.001
Overcast,43.63,0.67,8.9,5.1,0.95,0.0009
Cloudy,43.31,0.68,9,5.04,0.9,0
Cloudy,43.17,0.68,9.71,4.81,0.8,0
Cloudy,42.76,0.71,8.76,3.62,0.91,0.001
Overcast,43.34,0.69,8.46,4.56,0.96,0.0017
Overcast,43.16,0.68,8,3.72,1,0.0023
Overcast,43.13,0.69,10,3.47,0.95,0.0025
Cloudy,42.82,0.71,9.45,3.6,0.82,0.0025
Cloudy,43.91,0.69,10,3.65,0.88,0.0029
Cloudy,44.81,0.66,10,4.14,0.89,0.0039
Drizzle,45.84,0.62,10,3.61,0.89,0.0053
Cloudy,46.48,0.59,10,3.53,0.88,0.004
Cloudy,46.94,0.57,10,3.03,0.83,0.004
Cloudy,47.26,0.56,10,3.22,0.74,0.0037
Cloudy,47.76,0.57,10,2.99,0.71,0.0039
Drizzle,47.1,0.6,10,2.88,0.7,0.0053
Drizzle,46.45,0.69,9.67,2.17,0.88,0.0065
Drizzle,44.25,0.8,9.22,1.89,0.91,0.021
Drizzle,43.67,0.87,8.79,1.9,0.8,0.042
Drizzle,42.88,0.91,8.35,2.08,0.79,0.0285
Drizzle,42.91,0.93,8,0.66,0.82,0.0182
Drizzle,42.56,0.93,8.09,1.99,0.97,0.0289
Drizzle,43,0.94,6.75,2.3,0.82,0.0262
Drizzle,42.3,0.91,8.58,2.94,0.9,0.0203
Drizzle,42.06,0.91,8.8,3.67,0.85,0.0137
Drizzle,41.63,0.91,9.04,3.06,0.81,0.0074
Cloudy,41.72,0.92,9.15,2.49,0.75,0.0021
Cloudy,41.8,0.93,9.13,3.05,0.67,0
Cloudy,41.96,0.92,9.05,3.35,0.85,0.001
Cloudy,42.54,0.93,8.99,3.14,0.89,0.001
Cloudy,42.81,0.92,9.01,2.63,0.83,0
Cloudy,42.89,0.91,9.03,2.9,0.56,0
Clear,45.2,0.86,9.26,4.89,0.19,0
Cloudy,48.85,0.78,9.62,4.59,0.69,0
Cloudy,52,0.71,9.94,4.65,0.63,0
Cloudy,54.16,0.65,10,4.61,0.59,0
Cloudy,57.04,0.61,10,4.52,0.55,0
Cloudy,58.33,0.58,10,5.15,0.42,0
Clear,59.5,0.55,10,4.18,0.04,0
Clear,59.63,0.54,10,4.01,0.04,0
Clear,58.07,0.5,10,3.07,0.04,0
Clear,53.78,0.52,10,2.14,0.02,0
Clear,50.92,0.56,10,2.25,0,0
Clear,47.05,0.61,9.91,2.25,0,0
Clear,43.99,0.71,9.62,1.77,0,0
Clear,41.97,0.77,9.5,3.05,0,0
Clear,40.57,0.8,9.31,3.07,0,0
Clear,42.08,0.8,10,2.89,0.12,0
Clear,41,0.76,10,3.31,0.13,0
Clear,41.23,0.73,10,3.16,0.13,0
Clear,40.04,0.75,10,2.39,0.13,0
Clear,38.93,0.78,10,3,0.13,0
Clear,38.64,0.79,10,4.52,0.13,0
Clear,37.6,0.79,10,3.44,0.13,0
Clear,37.06,0.8,10,3.32,0.13,0
Clear,37.45,0.8,9.99,3.98,0.13,0
Clear,41.22,0.74,9.98,3.24,0.13,0
Clear,46.07,0.65,9.99,3.66,0.13,0
Clear,49.51,0.58,10,3.25,0.12,0
Clear,53.19,0.51,10,4.05,0.12,0
Clear,55.1,0.48,10,3.77,0.14,0
Clear,55.87,0.47,10,3.38,0.16,0
Clear,55.98,0.46,10,4.38,0.14,0
Clear,55.15,0.49,10,4.37,0.16,0
Clear,53.42,0.51,10,4.18,0.18,0
Clear,50.15,0.57,10,3.36,0.12,0
Clear,47.16,0.6,10,3.08,0.04,0
Clear,45.16,0.65,9.98,2.64,0.03,0
Clear,42.65,0.72,9.86,2.53,0.03,0
Clear,41.59,0.76,9.73,1.51,0.02,0
Clear,39.51,0.8,9.66,1.63,0.03,0
Cloudy,39.7,0.83,9.72,2.35,0.35,0
Cloudy,38.4,0.84,9.71,2.2,0.42,0
Cloudy,37.24,0.86,9.67,1.68,0.49,0
Cloudy,36.73,0.86,9.65,1.73,0.55,0
Cloudy,36.23,0.86,9.6,2.05,0.62,0
Cloudy,36.28,0.87,9.57,2.46,0.68,0
Cloudy,36.37,0.87,9.54,2.75,0.7,0
Cloudy,36.95,0.87,9.38,3.3,0.61,0
Cloudy,38.29,0.87,7.7,3.76,0.46,0
Cloudy,40.72,0.84,7.77,5.21,0.37,0
Cloudy,43.42,0.78,8.02,5.16,0.37,0
Cloudy,46.85,0.72,8.77,5.01,0.42,0
Cloudy,50.21,0.67,9,4.18,0.46,0
Cloudy,52.54,0.64,8.76,4.34,0.45,0
